ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
4827,Forecasting,Indicate by signs.,Verb,These signs bode bad news.,bode,portend,A2,11,Communication,Very Common,,,predict;prognosticate;forebode
4828,Forefather,The founder of a family.,Noun,Keep the faith of our forefathers.,father,sire,C1,65,Society & Culture,Uncommon,,,forbear;ancestor;ascendant
4829,Forefend,Prevent the occurrence of; prevent from happening.,Verb,Let's avoid a confrontation.,debar,forfend,C1,65,Society & Culture,Uncommon,,,prevent;obstruct;obviate
4830,Foregather,Collect in one place.,Verb,We assembled in the church basement.,meet,gather,C1,65,Society & Culture,Uncommon,,,converge;convene;constellate
4831,Foregone,Be earlier in time; go back further.,Verb,Stone tools precede bronze tools.,predate,precede,B2,39,General,Less Common,,,
4832,Foregrounding,Move into the foreground to make more visible or prominent.,Verb,The introduction highlighted the speaker's distinguished career in linguistics.,foreground,highlight,C1,65,General,Uncommon,,,raise;spotlight
4833,Foreignness,The quality of being alien or not native.,Noun,The strangeness of a foreigner.,strangeness,curiousness,C1,65,General,Uncommon,,,foreign;quality;exoticness
4834,Foremost,Ranking above all others.,Adjective,Was first in her class.,first,world-class,A2,9,General,Very Common,,,best;front
4835,Foreordained,Established or prearranged unalterably.,Adjective,His place in history was foreordained.,predestinate,predestined,C1,65,General,Uncommon,,,certain;sure
4836,Foresee,Picture to oneself; imagine possible.,Verb,I cannot envision him as President.,envision,,B1,24,Arts & Creativity,Common,,,imagine;prefigure;fantasy
4837,Foreshadowing,Indicate by signs.,Verb,These signs bode bad news.,bode,portend,C1,65,Communication,Uncommon,,,bespeak;betoken;indicate
4838,Foreshorten,Reduce in scope while retaining essential elements.,Verb,The manuscript must be shortened.,abridge,abbreviate,C1,65,General,Uncommon,,,decrease;expurgate;condense
4839,Foresightful,Planning prudently for the future.,Adjective,Large goals that required farsighted policies.,farseeing,farsighted,C1,65,General,Uncommon,,,foresightfulness;provident
4840,Forestalling,Keep from happening or arising; make impossible.,Verb,My sense of tact forbids an honest answer.,prevent,forestall,C1,65,Society & Culture,Uncommon,,,obstruct;forefend;obviate
4841,Foreswear,Do without or cease to hold or adhere to.,Verb,We are dispensing with formalities.,waive,relinquish,C1,65,Society & Culture,Uncommon,,,abandon
4842,Foretelling,Make a prediction about; tell in advance.,Verb,Call the outcome of an election.,predict,foretell,C1,65,Communication,Uncommon,,,venture;pretend;forecast
4843,Forethought,Judiciousness in avoiding harm or danger.,Noun,He exercised caution in opening the door.,caution,precaution,B2,39,Academic,Less Common,,,planning;preparation;provision
4844,Forevermore,At any future time; in the future.,Adverb,Lead a blameless life evermore.,evermore,,C1,65,General,Uncommon,,,
4845,Forewarning,Warn in advance or beforehand; give an early warning.,Verb,I forewarned him of the trouble that would arise if he showed up at his ex-wife's house.,forewarn,previse,C1,65,Communication,Uncommon,,,caution;admonish;warn
4846,Forfeited,"Lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime.",Verb,You've forfeited your right to name your successor.,forfeit,give up,B2,39,Business,Less Common,,,abandon;waive;forgo
4847,Forfeiture,A penalty for a fault or mistake that involves losing or giving up something.,Noun,The contract specified forfeits if the work was not completed on time.,forfeit,,C1,65,Business,Uncommon,,,penalty;sacrifice;loss
4848,Forficate,Resembling a fork; divided or separated into two branches.,Adjective,The biramous appendages of an arthropod.,bifurcate,biramous,C1,65,General,Uncommon,,,divided
4849,Forgetful,(of memory) deficient in retentiveness or range.,Adjective,A short memory.,unretentive,short,B1,30,General,Common,,,unmindful;mindfulness;forgetfulness
4850,Forgivable,Easily excused or forgiven.,Adjective,A venial error.,excusable,venial,C1,65,General,Uncommon,,,pardonable
4851,Forgoing,Do without or cease to hold or adhere to.,Verb,We are dispensing with formalities.,waive,relinquish,C1,65,Society & Culture,Uncommon,,,
4852,Forking,Lift with a pitchfork.,Verb,Pitchfork hay.,pitchfork,fork,C1,65,General,Uncommon,,,aggress;lift;attack
4853,Formalised,Make formal or official.,Verb,We formalized the appointment and gave him a title.,formalize,formalise,C1,65,Society & Culture,Uncommon,,,adjudge;certify;pronounce
4854,Formalities,A requirement of etiquette or custom.,Noun,A mere formality.,formality,,B1,30,General,Common,,,ceremony;ceremonial;exercise
4855,Formalize,Make formal or official.,Verb,We formalized the appointment and gave him a title.,formalise,,B1,30,Society & Culture,Common,,,adjudge;certify;pronounce
4856,Formalized,Make formal or official.,Verb,We formalized the appointment and gave him a title.,formalize,formalise,B1,30,Society & Culture,Common,,,adjudge;certify;pronounce
4857,Formalness,A manner that strictly observes all forms and ceremonies.,Noun,The formality of his voice made the others pay him close attention.,formality,,C1,65,General,Uncommon,,,courtesy;gentleness;mildness
4858,Formatting,Set (printed matter) into a specific format.,Verb,Format this letter so it can be printed out.,format,arrange,C1,65,Arts & Creativity,Uncommon,,,determine;initialise;identify
4859,Formless,Having no definite form or distinct shape.,Adjective,Amorphous clouds of insects.,amorphous,shapeless,C1,65,General,Uncommon,,,unformed;unbodied
4860,Formulary,(pharmacology) a book containing a compilation of pharmaceutical products with their formulas and methods of preparation.,Noun,Postexposure prophylaxis is an integral part of the pharmacopeia in preventing severe disease after acute infections.,pharmacopeia,,C1,65,Communication,Uncommon,,,book
4861,Formulated,"Elaborate, as of theories and hypotheses.",Verb,Could you develop the ideas in your thesis.,explicate,formulate,A2,9,Communication,Very Common,,,speculate;theorize;conjecture
4862,Fornication,Extramarital sex that willfully and maliciously interferes with marriage relations.,Noun,Adultery is often cited as grounds for divorce.,adultery,criminal conversation,C1,65,General,Uncommon,,,fornicate
4863,Forrard,At or to or toward the front; (`forrad' and `forrard' are dialectal variations).,Adverb,He faced forward.,forward,forwards,C1,65,General,Uncommon,,,
4864,Forsaking,Leave someone who needs or counts on you; leave in the lurch.,Verb,The mother deserted her children.,abandon,forsake,C1,65,Academic,Uncommon,,,leave;expose;ditch
4865,Forswearing,"Formally reject or disavow a formerly held belief, usually under pressure.",Verb,He retracted his earlier statements about his religion.,abjure,recant,C1,65,Communication,Uncommon,,,renounce;retract;swallow
4866,Forthcoming,Of the relatively near future.,Adjective,The approaching election.,approaching,coming,A2,9,General,Very Common,,,sociable;forthcomingness;future
4867,Forthrightly,Directly and without evasion; not roundabout.,Adverb,To face a problem squarely.,squarely,forthright,B2,39,General,Less Common,,,direct
4868,Fortified,Make strong or stronger.,Verb,This exercise will strengthen your upper body.,strengthen,beef up,A2,14,General,Very Common,,,confirm;reenforce;ruggedize
4869,Fortnight,A period of fourteen consecutive days.,Noun,Most major tennis tournaments last a fortnight.,two weeks,,B2,39,General,Less Common,,,fortnightly;period
4870,Fortnightly,Every two weeks.,Adverb,He visited his cousins fortnightly.,biweekly,,C1,65,General,Uncommon,,,fortnight;periodical;periodic
4871,Fortuitously,By good fortune.,Adverb,Fortunately the weather was good.,fortunately,luckily,C1,65,General,Uncommon,,,providential;miraculous;successful
4872,Fortunate,Supremely favored.,Adjective,Golden lads and girls all must / like chimney sweepers come to dust.,golden,,A2,6,General,Very Common,,,providential;miraculous;successful
4873,Forwarding,The advancement of some enterprise.,Noun,His experience in marketing resulted in the forwarding of his career.,furtherance,promotion,B2,39,General,Less Common,,,forward;advancement;progress
4874,Forwards,Send or ship onward from an intermediate post or station in transit.,Verb,Forward my mail.,forward,send on,C1,66,General,Uncommon,,,transport;railroad;dispatch
4875,Fossilise,Convert to a fossil.,Verb,The little animals fossilized and are now embedded in the limestone.,fossilize,,C1,66,General,Uncommon,,,convert;senesce;fossilisation
4876,Fossilize,Convert to a fossil.,Verb,The little animals fossilized and are now embedded in the limestone.,fossilise,,C1,66,General,Uncommon,,,convert;senesce;fossilization
4877,Fosterage,Helping someone grow up to be an accepted member of the community.,Noun,They debated whether nature or nurture was more important.,breeding,bringing up,C1,66,General,Uncommon,,,encouragement;socialization;socialisation
4878,Foulness,(of weather) the badness of the weather.,Noun,They were wearied with the foulness of the weather.,raininess,,C1,66,General,Uncommon,,,iniquity;wickedness;darkness
4879,Foundering,Fail utterly; collapse.,Verb,The project foundered.,fall through,fall flat,B2,39,Society & Culture,Less Common,,,miscarry;mishandle;submerge
4880,Fountainhead,An abundant source.,Noun,She was a well of information.,well,wellspring,B2,39,Communication,Less Common,,,beginning;rootage;birthplace
4881,Foursome,Four people considered as a unit.,Noun,He joined a barbershop quartet.,quartet,quartette,B2,39,Society & Culture,Less Common,,,gathering;assemblage;ternary
4882,Fourthly,In the fourth place.,Adverb,"Fourthly, you must pay the rent on the first of the month.",fourth,,C1,66,General,Uncommon,,,ordinal
4883,Fractious,Stubbornly resistant to authority or control.,Adjective,A fractious animal that would not submit to the harness.,refractory,recalcitrant,B2,39,General,Less Common,,,disobedient;fractiousness
4884,Fracture,Breaking of hard tissue such as bone.,Noun,It was a nasty fracture.,break,,B2,39,General,Less Common,,,injury;hurt;harm
4885,Fragment,Break or cause to break into pieces.,Verb,The plate fragmented.,break up,fragmentize,B1,15,General,Common,,,separate;splinter;atomize
4886,Fragmentary,Consisting of small disconnected parts.,Adjective,Fragmentary remains.,fragmental,,A2,14,General,Very Common,,,fragment;fractional
4887,Fragmentise,Break or cause to break into pieces.,Verb,The plate fragmented.,break up,fragment,C1,66,General,Uncommon,,,separate;splinter;atomize
4888,Fragmentize,Break or cause to break into pieces.,Verb,The plate fragmented.,break up,fragment,C1,66,General,Uncommon,,,separate;splinter;atomize
4889,Frankly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that.,Adverb,"Honestly, I don't believe it.",honestly,candidly,A2,8,General,Very Common,,,sincere;frank;direct
4890,Frantically,In an uncontrolled manner.,Adverb,She fought back madly.,madly,,A2,12,General,Very Common,,,agitated;frantic;wild
4891,Fraternity,People engaged in a particular occupation.,Noun,The medical fraternity.,brotherhood,sodality,B1,15,Society & Culture,Common,,,society;stratum;brother
4892,Fraught,Filled with or attended with.,Adjective,Words fraught with meaning.,pregnant,,C1,66,General,Uncommon,,,troubled;full
4893,Frazzle,Wear away by rubbing.,Verb,The friction frayed the sleeve.,fray,,C1,66,General,Uncommon,,,exhaust;break;wear
4894,Freakishly,Unpredictably.,Adverb,The weather has been freakishly variable.,capriciously,,C1,66,General,Uncommon,,,unpredictable;freakish
4895,Freebee,Something that is free (usually provided as part of a promotional scheme).,Noun,The road map was a freebie.,freebie,,C1,66,Business,Uncommon,,,contribution;present;portion
4896,Freehand,Done by hand without mechanical aids or devices.,Adjective,A freehand drawing.,freehanded,,B1,24,General,Common,,,original
4897,Freeing,Relieve from.,Verb,Rid the house of pests.,rid,free,B1,24,Business,Common,,,cleanse;relieve;parole
4898,Freelance,Serving for wages in a foreign army.,Adjective,Mercenary killers.,mercenary,free-lance,C1,66,General,Uncommon,,,paid
4899,Freestanding,Standing apart; not attached to or supported by anything.,Adjective,A freestanding bell tower.,separate,,C1,66,General,Uncommon,,,detached
4900,Freewheeling,"Live unhurriedly, irresponsibly, or freely.",Verb,My son drifted around for years in California before going to law school.,freewheel,drift,C1,66,General,Uncommon,,,survive;subsist;breathe
4901,Freight,The charge for transporting something by common carrier.,Noun,We pay the freight.,freightage,freight rate,A2,6,Business,Very Common,,,product;transportation;transport
4902,Freightage,The charge for transporting something by common carrier.,Noun,We pay the freight.,freight,freight rate,C1,66,Business,Uncommon,,,transportation;transport;footage
4903,Frenetic,Excessively agitated; distraught with fear or other violent emotion.,Adjective,Frantic with anger and frustration.,frantic,phrenetic,B2,39,General,Less Common,,,agitated
4904,Frenziedly,In a frenzied manner.,Adverb,We rehearsed frenziedly the last few days before the premiere.,hectically,,B2,39,General,Less Common,,,agitated;frenzied
4905,Frequenter,Coming at short intervals or habitually.,Adjective,A frequent guest.,frequent,,C1,66,General,Uncommon,,,regular;dominant;steady
4906,Fresher,"Recently made, produced, or harvested.",Adjective,Fresh bread.,fresh,,C1,66,General,Uncommon,,,unspoiled;unspoilt;crisp
4907,Freshly,Very recently.,Adverb,They are newly married.,newly,fresh,B1,30,General,Common,,,forward
4908,Fretful,Nervous and unable to relax.,Adjective,A constant fretful stamping of hooves.,antsy,fidgety,C1,66,General,Uncommon,,,complaining;complaintive;tense
